;% Valores no estandarizados;;% Valores no estandarizados;
code;0.9406709332496248;code;0.9406709332496248;
created_datetime;100.0;created_datetime;100.0;
product_name;;product_name;;
generic_name;;generic_name;;
quantity;;quantity;;
packaging_en;;packaging_en;;
brands_tags;;brands_tags;;
categories_en;;categories_en;;
origins_en;;origins_en;;
manufacturing_places_tags;;manufacturing_places_tags;;
labels_en;;labels_en;;
emb_codes_tags;;emb_codes_tags;;
first_packaging_code_geo;;first_packaging_code_geo;;
cities_tags;;cities_tags;;
purchase_places;;purchase_places;;
stores;;stores;;
countries_en;;countries_en;;
ingredients_tags;;ingredients_tags;;
ingredients_analysis_tags;;ingredients_analysis_tags;;
allergens_en;0.0;allergens_en;0.0;
traces_en;;traces_en;;
serving_size;;serving_size;;
serving_quantity;;serving_quantity;;
no_nutrition_data;;no_nutrition_data;;
additives_en;;additives_en;;
nutriscore_score;;nutriscore_score;;
nutriscore_grade;;nutriscore_grade;;
nova_group;3.13681593115794;nova_group;0.0;
pnns_groups_1;;pnns_groups_1;;
pnns_groups_2;;pnns_groups_2;;
food_groups_en;;food_groups_en;;
states_en;;states_en;;
brand_owner;;brand_owner;;
ecoscore_score;0.0006797201777406473;ecoscore_score;0.0;
ecoscore_grade;;ecoscore_grade;;
nutrient_levels_tags;;nutrient_levels_tags;;
product_quantity;1.1911787151187687;product_quantity;1.7567985921141338;
owner;;owner;;
data_quality_errors_tags;;data_quality_errors_tags;;
unique_scans_n;4.69640298261214;unique_scans_n;0.0;
popularity_tags;;popularity_tags;;
completeness;6.012650210435188;completeness;0.0;
main_category_en;;main_category_en;;
energy-kj_100g;0.0624106708652776;energy-kj_100g;0.004510870270460659;
energy-kcal_100g;0.6650752975475077;energy-kcal_100g;0.016282387894060047;
energy_100g;0.6655696394949556;energy_100g;0.014459501962846495;
energy-from-fat_100g;0.002935155312970977;energy-from-fat_100g;0.001019580266610971;
fat_100g;2.7432579482461055;fat_100g;0.9850381230330597;
saturated-fat_100g;5.5870217936826805;saturated-fat_100g;4.486894686009443;
butyric-acid_100g;0.0002471709737238717;butyric-acid_100g;0.00012358548686193586;
caproic-acid_100g;6.179274343096793e-05;caproic-acid_100g;6.179274343096793e-05;
caprylic-acid_100g;9.26891151464519e-05;caprylic-acid_100g;0.0;
capric-acid_100g;0.0001544818585774198;capric-acid_100g;0.0;
lauric-acid_100g;0.0;lauric-acid_100g;0.0;
myristic-acid_100g;6.179274343096793e-05;myristic-acid_100g;0.00021627460200838777;
palmitic-acid_100g;0.0003089637171548396;palmitic-acid_100g;0.00033986008887032363;
stearic-acid_100g;0.0001853782302929038;stearic-acid_100g;0.0;
arachidic-acid_100g;0.001822885931213554;arachidic-acid_100g;0.0009886838948954869;
behenic-acid_100g;0.0005252383191632275;behenic-acid_100g;9.26891151464519e-05;
lignoceric-acid_100g;9.26891151464519e-05;lignoceric-acid_100g;9.26891151464519e-05;
cerotic-acid_100g;0.0001544818585774198;cerotic-acid_100g;9.26891151464519e-05;
montanic-acid_100g;0.0001853782302929038;montanic-acid_100g;3.0896371715483965e-05;
melissic-acid_100g;0.00021627460200838777;melissic-acid_100g;0.0001544818585774198;
unsaturated-fat_100g;0.0005252383191632275;unsaturated-fat_100g;0.00021627460200838777;
monounsaturated-fat_100g;0.18738649445441025;monounsaturated-fat_100g;0.08780748841540544;
omega-9-fat_100g;0.0004634455757322595;omega-9-fat_100g;0.0007415129211716152;
polyunsaturated-fat_100g;0.13612941377842233;polyunsaturated-fat_100g;0.08369827097724605;
omega-3-fat_100g;0.011122693817574228;omega-3-fat_100g;0.004943419474477434;
omega-6-fat_100g;0.0022863315069458134;omega-6-fat_100g;0.0016684040726361342;
alpha-linolenic-acid_100g;0.0073533364682851834;alpha-linolenic-acid_100g;0.0037384609775735593;
eicosapentaenoic-acid_100g;0.0006179274343096793;eicosapentaenoic-acid_100g;6.179274343096793e-05;
docosahexaenoic-acid_100g;0.0010813730100419387;docosahexaenoic-acid_100g;0.0005870310625941954;
linoleic-acid_100g;0.0021318496483683936;linoleic-acid_100g;0.0034294972604187197;
arachidonic-acid_100g;0.0012358548686193585;arachidonic-acid_100g;0.0007724092928870992;
gamma-linolenic-acid_100g;9.26891151464519e-05;gamma-linolenic-acid_100g;3.0896371715483965e-05;
dihomo-gamma-linolenic-acid_100g;0.0;dihomo-gamma-linolenic-acid_100g;0.0;
oleic-acid_100g;0.0006179274343096793;oleic-acid_100g;0.0001853782302929038;
elaidic-acid_100g;3.0896371715483965e-05;elaidic-acid_100g;3.0896371715483965e-05;
gondoic-acid_100g;0.0007106165494561312;gondoic-acid_100g;0.0002471709737238717;
mead-acid_100g;0.00012358548686193586;mead-acid_100g;0.00012358548686193586;
erucic-acid_100g;0.0;erucic-acid_100g;0.0;
nervonic-acid_100g;0.0001544818585774198;nervonic-acid_100g;9.26891151464519e-05;
trans-fat_100g;0.29274312200421054;trans-fat_100g;0.0;
cholesterol_100g;1.1009613097095556;cholesterol_100g;1.0649361402893012;
carbohydrates_100g;0.03531455287079817;carbohydrates_100g;0.0;
sugars_100g;8.021810366721395;sugars_100g;6.4355597464767325;
added-sugars_100g;0.03624144402226269;added-sugars_100g;0.035592620216237526;
sucrose_100g;0.000926891151464519;sucrose_100g;0.00040165283230129154;
glucose_100g;0.0007106165494561312;glucose_100g;0.00043254920401677554;
fructose_100g;6.179274343096793e-05;fructose_100g;0.0;
lactose_100g;0.00880546593891293;lactose_100g;0.0033986008887032363;
maltose_100g;0.0005252383191632275;maltose_100g;0.0002471709737238717;
maltodextrins_100g;0.0014212330989122623;maltodextrins_100g;0.0003089637171548396;
starch_100g;0.0;starch_100g;0.0;
polyols_100g;9.26891151464519e-05;polyols_100g;0.0;
erythritol_100g;0.00012358548686193586;erythritol_100g;0.0001544818585774198;
fiber_100g;2.3231599820306705;fiber_100g;1.0353065198141522;
soluble-fiber_100g;0.005468657793640662;soluble-fiber_100g;0.0;
insoluble-fiber_100g;0.004634455757322594;insoluble-fiber_100g;0.0012049584969038747;
proteins_100g;2.2911204445617135;proteins_100g;0.6247864288305167;
casein_100g;6.179274343096793e-05;casein_100g;0.0;
serum-proteins_100g;0.0004634455757322595;serum-proteins_100g;0.0;
nucleotides_100g;0.0002471709737238717;nucleotides_100g;0.0001853782302929038;
salt_100g;4.314122175376457;salt_100g;1.0488082342538185;
added-salt_100g;0.00021627460200838777;added-salt_100g;0.0;
sodium_100g;4.310939849089762;sodium_100g;1.0520214569122288;
alcohol_100g;0.08873437956686994;alcohol_100g;0.19087778445825992;
vitamin-a_100g;0.8548717089957257;vitamin-a_100g;0.4944964293063209;
beta-carotene_100g;0.0006179274343096793;beta-carotene_100g;0.00043254920401677554;
vitamin-d_100g;0.12713856960921652;vitamin-d_100g;0.045232288191468524;
vitamin-e_100g;0.017023900815231665;vitamin-e_100g;0.005870310625941954;
